,tweets,features,sentiment
144, MP Tiruchi Siva DMK suggests removal of GST for sanitary napkins Rajya Sabha appreciates the suggestion March 8 2018 Wo,"['mp', 'tiruchi', 'siva', 'dmk', 'suggests', 'removal', 'gst', 'sanitary', 'napkins', 'rajya', 'sabha', 'appreciates', 'suggestion', 'march', 'wo']",positive
145, Decision to exempt sanitary napkins from GST was taken today at 28th GSTCouncilMeet This will help innumerable women a,"['decision', 'exempt', 'sanitary', 'napkins', 'gst', 'gstcouncilmeet', 'help', 'innumerable', 'women']",negative
146, GST on Bamboo flooring was reduced to 12 at the 28th GSTCouncilMeet today This was one of the proposals presented by,"['gst', 'bamboo', 'flooring', 'reduced', 'gstcouncilmeet', 'proposals']",positive
147, No GST on sanitarynapkins now GSTCouncilMeet approved the demand of Maharashtra IN today s 28th council meeting in,"['gst', 'sanitarynapkins', 'gstcouncilmeet', 'approved', 'demand', 'maharashtra', 'council', 'meeting']",positive
148, GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you,"['gst', 'removed', 'sanitary', 'napkins', 'actual', 'women', 'empowerment', 'peak', 'indeed', 'endeavour', 'thank']",negative
149, GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you,"['gst', 'removed', 'sanitary', 'napkins', 'actual', 'women', 'empowerment', 'peak', 'indeed', 'endeavour', 'thank']",negative
150, Why no GST on sanitary napkins could actually make it costlier via,"['gst', 'sanitary', 'napkins', 'actually', 'costlier', 'via']",positive
151, MoF officials finally checkmated as GST Council chaired for the first time by Finance Minister Piyush Goyal ignores,"['mof', 'officials', 'finally', 'checkmated', 'gst', 'council', 'chaired', 'time', 'finance', 'minister', 'piyush', 'goyal', 'ignores']",positive
152, The announcement by the Govt on allowing hotels to charge GST on actual tariff and not on published tariff is a very positi,"['announcement', 'govt', 'allowing', 'hotels', 'charge', 'gst', 'actual', 'tariff', 'published', 'tariff', 'positi']",neutral
153, Why no GST on sanitary napkins could actually make it costlier via,"['gst', 'sanitary', 'napkins', 'actually', 'costlier', 'via']",positive
154, marketupdate nifty50 manage to stay at 11000 Bata stocks are trading hire 5 amp Havells share gains up to 8 Mark,"['marketupdate', 'nifty50', 'manage', 'stay', 'bata', 'stocks', 'trading', 'hire', 'amp', 'havells', 'share', 'gains', 'mark']",neutral
155,Simplified GST Return Process TGI goodsandservicestax goodsandservicestax gstcouncil,"['simplified', 'gst', 'return', 'process', 'tgi', 'goodsandservicestax', 'goodsandservicestax', 'gstcouncil']",positive
156,28th GST Council Updates A Quick Read TGI goodsandservicestax canikhiljhanwar,"['gst', 'council', 'updates', 'quick', 'read', 'tgi', 'goodsandservicestax', 'canikhiljhanwar']",positive
157,GST Advance Ruling Mechanism TGI goodsandservicestax advanceruling goodsandservicestax,"['gst', 'advance', 'ruling', 'mechanism', 'tgi', 'goodsandservicestax', 'advanceruling', 'goodsandservicestax']",negative
158,Recommendations of 28th GST Council Meeting Whats good amp whats not TGI,"['recommendations', 'gst', 'council', 'meeting', 'whats', 'amp', 'whats', 'tgi']",negative
159,28th GST council meeting Recommendations and it s impact in business TGI,"['gst', 'council', 'meeting', 'recommendations', 'impact', 'business', 'tgi']",positive
160, Why no GST on sanitary napkins could actually make it costlier via,"['gst', 'sanitary', 'napkins', 'actually', 'costlier', 'via']",positive
161, The GST Council has reduced the GST rate on lithium ion batteries for ElectricVehicles from 28 per cent to 18 per cent,"['gst', 'council', 'reduced', 'gst', 'rate', 'lithium', 'ion', 'batteries', 'electricvehicles', 'cent', 'cent']",negative
162, Some men manginas don t stand up for men s issues enthusiastically bcoz they r scared of Feminists soo much scared t,"['manginas', 'don', 'stand', 'issues', 'enthusiastically', 'bcoz', 'scared', 'feminists', 'soo', 'scared']",negative
163,Taxman Alert eCommerce Companies May Face Audit On GST Rate Cuts taxation GST,"['taxman', 'alert', 'ecommerce', 'companies', 'audit', 'gst', 'rate', 'cuts', 'taxation', 'gst']",negative
164,All women activists amp feminists should be happy for succeeding in getting GST removed on Sanitary Pads,"['women', 'activists', 'amp', 'feminists', 'happy', 'succeeding', 'getting', 'gst', 'removed', 'sanitary', 'pads']",negative
165, The GST rate rationalisation is in keeping with the principles of prudence good economics amp Sabka Saath Sabka Vikas a,"['gst', 'rate', 'rationalisation', 'keeping', 'principles', 'prudence', 'economics', 'amp', 'sabka', 'saath', 'sabka', 'vikas']",positive
166, Under the dynamic leadership of PM Ji Synthetic textile manufactures announce to cut prices of their produ,"['dynamic', 'leadership', 'pm', 'ji', 'synthetic', 'textile', 'manufactures', 'announce', 'cut', 'prices', 'produ']",neutral
167,Why no GST on sanitary napkins could actually make it costlier via,"['gst', 'sanitary', 'napkins', 'actually', 'costlier', 'via']",positive
168, Allowing hotels to charge GST on actual tariff is very positive This has been a demand of industry amp we r indeed grateful to,"['allowing', 'hotels', 'charge', 'gst', 'actual', 'tariff', 'positive', 'demand', 'industry', 'amp', 'indeed', 'grateful']",positive
169, May I Request Shr Narendra Modi ji amp Piyush Goyal ji to Exempt Burnol from on GST This has become basic need for Libera,"['request', 'shr', 'narendra', 'modi', 'ji', 'amp', 'piyush', 'goyal', 'ji', 'exempt', 'burnol', 'gst', 'basic', 'libera']",negative
170, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
171, A Big Shoutout to amp for being sensitive towards issues related to women s health amp hygiene,"['shoutout', 'amp', 'sensitive', 'towards', 'issues', 'related', 'women', 'health', 'amp', 'hygiene']",negative
172, Why shouldn t be PM JanDhan OROP GST demonetisation SwachhBharath MakeInIndia Ujwala Saubhag,"['shouldn', 'pm', 'jandhan', 'orop', 'gst', 'demonetisation', 'swachhbharath', 'makeinindia', 'ujwala', 'saubhag']",negative
173,The GST Regime is complicated n needs to be abolished,"['gst', 'regime', 'complicated', 'abolished']",negative
174, GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you,"['gst', 'removed', 'sanitary', 'napkins', 'actual', 'women', 'empowerment', 'peak', 'indeed', 'endeavour', 'thank']",negative
175, Why shouldn t be PM JanDhan OROP GST demonetisation SwachhBharath MakeInIndia Ujwala Saubhag,"['shouldn', 'pm', 'jandhan', 'orop', 'gst', 'demonetisation', 'swachhbharath', 'makeinindia', 'ujwala', 'saubhag']",negative
176,Private consumption may get an added kick after a cut in indirect tax rates for a number of consumer goods GST,"['private', 'consumption', 'added', 'kick', 'cut', 'indirect', 'tax', 'rates', 'consumer', 'gst']",negative
177,End of Day Wrap up Monday July 23 2018 GST GSTCouncil profit PiramalCapital Samhi SBI PNB LIC IT,"['day', 'wrap', 'monday', 'july', 'gst', 'gstcouncil', 'profit', 'piramalcapital', 'samhi', 'sbi', 'pnb', 'lic']",negative
178, Some men manginas don t stand up for men s issues enthusiastically bcoz they r scared of Feminists soo much scared t,"['manginas', 'don', 'stand', 'issues', 'enthusiastically', 'bcoz', 'scared', 'feminists', 'soo', 'scared']",negative
179,DidYouKnow Helpful tips for all ClearTax GST software users,"['didyouknow', 'helpful', 'tips', 'cleartax', 'gst', 'software', 'users']",neutral
180, WATCH MP Tiruchi Siva of the DMK suggests removal of GST for sanitary napkins Rajya Sabha appreciates the suggestion March,"['watch', 'mp', 'tiruchi', 'siva', 'dmk', 'suggests', 'removal', 'gst', 'sanitary', 'napkins', 'rajya', 'sabha', 'appreciates', 'suggestion', 'march']",positive
181,Have spoken to more than a thousand persons in Chhattisgarh in last two months GST is getting a thunbs down,"['spoken', 'thousand', 'persons', 'chhattisgarh', 'months', 'gst', 'getting', 'thunbs']",positive
182, Germany Yes Big Win for Woman across the Nation AGAINST none other than Modi Govt GST,"['germany', 'yes', 'win', 'woman', 'nation', 'none', 'modi', 'govt', 'gst']",negative
183, Some men manginas don t stand up for men s issues enthusiastically bcoz they r scared of Feminists soo much scared t,"['manginas', 'don', 'stand', 'issues', 'enthusiastically', 'bcoz', 'scared', 'feminists', 'soo', 'scared']",negative
184, Feminine hygiene now tax free in India Sanitary napkins out of GST net Periods Happy Independence day Thank you,"['feminine', 'hygiene', 'tax', 'free', 'india', 'sanitary', 'napkins', 'gst', 'net', 'periods', 'happy', 'independence', 'day', 'thank']",neutral
185, GST tax slabs are lesser irritants than the design and systems Even medium kirana shops are to shell out Rs 8 10 PM to h,"['gst', 'tax', 'slabs', 'lesser', 'irritants', 'design', 'systems', 'medium', 'kirana', 'shops', 'shell', 'rs', 'pm']",positive
186,GST tax slabs are lesser irritants than the design and systems Even medium kirana shops are to shell out Rs 8 10,"['gst', 'tax', 'slabs', 'lesser', 'irritants', 'design', 'systems', 'medium', 'kirana', 'shops', 'shell', 'rs']",positive
187, MoF officials finally checkmated as GST Council chaired for the first time by Finance Minister Piyush Goyal ignores,"['mof', 'officials', 'finally', 'checkmated', 'gst', 'council', 'chaired', 'time', 'finance', 'minister', 'piyush', 'goyal', 'ignores']",positive
188, After empty boasts and endless PR even as the Govt scrambles to fix GST we are confronted with the monumental failure of,"['empty', 'boasts', 'endless', 'pr', 'govt', 'scrambles', 'fix', 'gst', 'confronted', 'monumental', 'failure']",negative
189, GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you,"['gst', 'removed', 'sanitary', 'napkins', 'actual', 'women', 'empowerment', 'peak', 'indeed', 'endeavour', 'thank']",negative
190, Now only 35 goods in highest tax bracket of GST For more businessNews watch Topline,"['tax', 'bracket', 'gst', 'businessnews', 'watch', 'topline']",negative
191, Election tilt GST Council s rush job angers some FMs of Opposition ruled states who called the process undemocratic unplea,"['election', 'tilt', 'gst', 'council', 'rush', 'job', 'angers', 'fms', 'opposition', 'ruled', 'called', 'process', 'undemocratic', 'unplea']",positive
192, Removing GST from sanitarynapkins was long overdue Good to know the correction has happened finally Now upto Governm,"['removing', 'gst', 'sanitarynapkins', 'overdue', 'correction', 'happened', 'finally', 'upto', 'governm']",positive
193, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
194, With just 60 65 percent GST compliance few takers for Composition Scheme and MSME hit at the core govt in,"['percent', 'gst', 'compliance', 'takers', 'composition', 'scheme', 'msme', 'hit', 'core', 'govt']",negative
195, MoF officials finally checkmated as GST Council chaired for the first time by Finance Minister Piyush Goyal ignores,"['mof', 'officials', 'finally', 'checkmated', 'gst', 'council', 'chaired', 'time', 'finance', 'minister', 'piyush', 'goyal', 'ignores']",positive
196, With just 60 65 percent GST compliance few takers for Composition Scheme and MSME hit at the core govt in,"['percent', 'gst', 'compliance', 'takers', 'composition', 'scheme', 'msme', 'hit', 'core', 'govt']",negative
197,With just 60 65 percent GST compliance few takers for Composition Scheme and MSME hit at the core g,"['percent', 'gst', 'compliance', 'takers', 'composition', 'scheme', 'msme', 'hit', 'core']",positive
198, May I Request Shr Narendra Modi ji amp Piyush Goyal ji to Exempt Burnol from on GST This has become basic need for Libera,"['request', 'shr', 'narendra', 'modi', 'ji', 'amp', 'piyush', 'goyal', 'ji', 'exempt', 'burnol', 'gst', 'basic', 'libera']",negative
